Name | Location | Date | Review Title | Ratings | UID | Review Text
Gould h|None|10 May 2017|Wonderful Family Time|5|9BD93B2DAC53DA55AFAA6C079F8B2647|The trip to Universal studio was a truly unforgetable experience for our children. It is a must-see if one visits Singapore for pleasure. Tickets are a tat expensive but still worth it since we are on vacation. It can be tiring and there are many rides / adventures that we tried which adds to an overall exciting time.
Jennifer H|Elanora Qld.|10 May 2017|Great for young and old!|5|2379C08306025233357FA6CCBC2195EE|The best tip I can give is to purchase the Express tickets for your visit. When the queues have a waiting time of 40 minutes + for a ride you will thank me for this advice. We simply showed the pass at the gate and were promptly shown the pathway up to the front of the queue. We went during the week and not school holidays and it was still busy. Great attractions - especially the Transformers 3D. Lockers are free for the rides where you are not allowed to take bags etc. Well run and very clean. Food was well priced as were the drinks. You can book on line and save but be sure of the day that you want to attend.
Minhas K|None|10 May 2017|Amazing! The best place to be in Singapore!|5|F39FA7255E03B3CBFAD5C5CC215A496F|Loved it! At first I figured this place was only meant for kids and family..but after all the crazy and thrilling rides /001I came out excited and happy !Highly recommended when u r in Singapore !!
MalDann|Perth- Australia|10 May 2017|Very Family Orientated|4|F4DC0E0FFDB77FA005EB7E077ED518D9|This attraction is very good for family fun. There are many things to see and rides to suit all ages. We spent a good day here and the attractions vary to meet all of a family's requiremnts. Waiting lines when we went were quite good at approximately 20 minutes each ride. We went mid week. The grandkids loved their time here and thoroughly enjoyed the atmosphere and rides. The cost for express lane was quite rich so we decllned/001 however I believe there was not a benefit on the day we went. Might be benefictial on weekends. Have been here twice and will go back again.
Marc P|Maafushi Island|9 May 2017|Family trip to Sentosa|4|DB0F9C2A2C067201EB53A3F797567286|Spent the whole day in the park/001 as this was the main reason behind this family trip to Sentosa.Overall a good place: many attractions & shows/001 my 5 years old son just loved it.Queue weren't too bad/001 but on a busy day the "fast track/premium pass" must come in a handy... Although paying an extra 60 SGD even for a 5 years old kid is outrageous !!A very good family time in Sentosa for sure/001 and most probably the highlight of the trip
Shelley W|Tyabb- Australia|9 May 2017|Nothing to the original|3|334B30F6411A10FC2529588FA4870581|Was disappointed to see how different this one was compared to the original one in America. Not only is it smaller with fewer rides but the customer service was disappointing. We had paid extra money to get unlimited rides passes but was a waste of money due to the lack of rides and also due to rides being closed because of the rain (no one can control the weather) but when you can't go on rides and than you have to pay money to buy a plastic poncho just so you can go somewhere else in the park/001 so you can some kind of dry. Now that makes me angry.Save your money and go to USA. You will get the whole experience.... great rides and customer service with a smile and a laugh
SnehPrit|Bharuch- India|9 May 2017|Universal studio|5|462CA8C12019E37357125DB4A145538E|The fun place in Singapore is a good attraction for both young and children. Have a variety of attractions and enjoyable rides.
Santosh R|Pune- India|9 May 2017|Adventurous experience with pouring adernaline|5|0D7FC802683DEC5216E9ABA625DA80A9|It is a theme and amusement park located within Resorts World Sentosa (RWS) on Sentosa Island/001 near Harbourfront. It is the second one after Japan in Asia. This popular Hollywood series has more than 20 attractions. You should not miss upon the Canopy Flyer Roller Coaster/001 Jurassic park rapid Adventure/001 Water World Arena/001 Revenge of the Mummy and the Transformer. The queue is quite big and the wait time is around 20-30 minutes during weekdays but even longer on weekends. I would suggest you to avoid weekends but if you do not have any choice then plan your movement right and start the tour around 3 PM and finish all major ones till 6 PM. In many rides you are not allowed to carry any bags or in some rides not allowed to wear glasses. Therefore either handover all stuff to any of your friends or else use lockers to keep your stuff before you start your ride. Some of the rides are quite boring so do not waste your time over their rather select the once you are enjoying and repeat them as many times.
EddyWooi|Malaysia|9 May 2017|Fun and excited amusement park|5|79C72CD326BA143CE2082B195B4445BE|I had visit Universal Studio Singapore when it just operated in Singapore. The theme park are filled with numerous type of rides and attractions in the park itself. The one and must to try out ride in Universal Studio is their Battlestar Galactica which consist of 2 different feel of excitement on this ride.
gracieylicious|Taytay- Philippines|9 May 2017|Fun filled day with family|5|1BDFB7D16C618011B8910B4C2BEA2F71|The whole family enjoy a day of fun trying all the attractions our kids allowed to ride. The best attraction for us is the TRANSFORMERS and a must try for everyone! We'll surely back here when our kids can enjoy all of the attractions.TIPS: You can bring snack to eat while waiting in line for the ride.
bellabelle19|Singapore- Singapore|9 May 2017|My 3rd time and still planning return trips!|4|E03684CE2FEE07DEDE3BFD31B00E7DC9|It was a weekday but still long queues maybe due to group tours. Didn't get an express ticket that time as i didn't expect long queue but nonetheless/001 will be coming again!
