Name,Location,Date,Review Title,Ratings,UID,Review Text
Satira K,None,12-Aug-17,Horrible Horrible Queues,4,EFDD90190BA6461617A226C3C95426F6,We went there last week on a weekdays and it's not even school holidays/peak season but they are thousands of peoples. Bought online tickets from Expedia for $54 each of us. Arrived there at 11am (they open at 10am). Our first ride is Transformers since everyone kept saying its super cool and its a must. Que for almost 2 hours(almost give up)/001 but the ride is super awesome(6d). And the next one we goes to Battlestar Galactica roller coaster(there is 2 types) which took us around 1 hour of queuing(thrilling and must try but not for a fain-hearted people). Expected queuing time for all the rides inside USS 1-2 hours(depend on rides). Make sure your bring water bottle. They provide free lockers but only for first 2 hours(because some of the rides requires you to keep all your stuff inside the locker). Everywhere full of peoples. Food inside is very expensive. Make sure wear comfortable shoes like sport shoes do not wear heels. You can re-enter back in to the amusement park just make sure the staff stamp your right hand if you wish to re-enter.(at the exit).
38hamishm,None,12-Aug-17,Universal studios Sentosa.... Welcome to Hell!,1,59B9A7FA8D5AF24AAF026AD811259CAC,Love standing in queues for hours and paying huge amounts for the privilege? Then Universal Studios/001 Sentosa Island is the place for you! There are so many terrible things about this place it is hard to know where to start. Perhaps the whole concept - where they build attractions (rides) that must be stopped when there is bad weather and the risk of thunder and lightening... maybe someone should have factored in the weather stats in Singapore - with almost 200 days of rain annually - this means that the chances of being stuck in queue hell for hours are very high as they stop all operations waiting for the weather to clear. We experienced this twice -waiting for a total of almost 4 hours in long queues and weather stops for the pleasure of one 30 second ride which was over almost before it had begun. Perhaps a Dome over the whole complex may have been a smart idea - as the way it is now - you are at the mercy of the Singapore's fickle weather. That would be my next complaint - the length of the rides... after queuing for up for most of your day - the rides you wait so expectantly for are more often than not a terrible anticlimax and because the park is so small they are very short in length. Another delightful element is the whole concept of the express ticket - this is really fantastic as you wait often for hours in queues with almost imperceptible movement and you have the added pleasure of watching streams of smug express ticket holders casually strolling past you in another line. This does wonders for the moral of all the regular plebs who have paid an already size-able chunk of their pay packet to be there. This system is incredibly annoying and just adds a type of aggressive energy to the masses. Just charge one price and put a gate limit on how many visitors who can enter the park in one day/001 Is it really fair to expect people to wait for 160 minutes for one ride? Anything positive? Yep - some of the design within the park is nice to look at but this place is seriously overcrowded and it was such an annoying and frustrating experience that I would literally pay to avoid it. Punters beware!!!
Trang D,None,11-Aug-17,Amazing place,5,77C96BFC40419800F82B7F182FA54C39,Great feelings with lot of amazing rides.Great lively show made us feel real with the actors and actressHighly recommend activities to anyone go to Singapore besides shopping
Asif I,None,11-Aug-17,Get the Express ticket!!!!,4,C34E8657C38B12E7D8EFAFE0423ACFC1,Very long queues for all rides. Transformer ride the queue was nearly 2hours long. It was a very good ride but not sure if the two hours was worth it!So much to do and see but the queues made it impossible and exhausting. Food and drinks were expensive! We hired out a wheelchair as the kids got tired and found it difficult to walk.
summershineR,Manila- Philippines,11-Aug-17,March is a not so busy month,5,1D08AEC256AC4561DDB5177DA7C9AC78,Going to universal studios is worth every penny !!! We love the food hour it was hot but it was awesome and the rides as well
roryjdoyle,Kuala Lumpur- Malaysia,11-Aug-17,Terrible Queues,2,53914737C20758B841D5356ED067D5B1,Terrible queues from the minute you arrive to collect or pay for your tickets until you leave! You can buy an express pass to cut queues but that will cost an additional $100 per person. Rip off.
Febiehung,Sydney- Australia,11-Aug-17,Compact for young kids,4,E6912B14388BE7923F67DF5E4AC3929E,Great place for young kids but it was a bit too hot when queuing outdoor under the sun... There can be more air-conditioned waiting queue.
alancsimy,Kuala Lumpur- Malaysia,11-Aug-17,Family visit,5,967D16A3CADED7C6C290C15FF4A5C084,Huge park. price is expensive. long queue n take an hour n more to get in/on one attraction to another i.e. roller coaster/001 3D ride boat transformer etc. etc. Make sure you're really brave n dare to go on roller coaster.... open your both eyes n feel your heart beat. ... ooooowwwww.... hahahaahaa
Paulina922,None,10-Aug-17,Amazing place!,5,27F7FC8308B3B2A0E09847EDC80B6913,This UNIVERSAL is of course much smaller from Muami`s/001 but it really worth to visit it. Nice scenery and games. It worths to buy EXPRESS TICKET/001 I think its 70S$ more but the lines are too big to wait... Except from that the island has so many other things to do (like aquarium) that it really worth to visit it!P.S. Don't forget to visit Transformers and Mummy's roller coaster!
MN8888,Liverpool- United Kingdom,10-Aug-17,Expensive and very crowded,2,AD233A522C4B687BE64FF1C8238AE1F2,We went as a family in August and it was very crowded. The security and ticket queue took an hour when we arrived at 10.30We bought the unlimited express at an extra 100 per person and this proved to be worth it as it would cut the queues by half for all rides.We managed to do over 12 rides spending about 7 hours there And thr kids did enjoy the rides The worst bit was lunchtime where the lunch prak time was so crowded and queues again took over an hour again to get any foodCrowd control could be better managed and the park is a lot smaller than Disneyland parks
teodorspanu,Ploiesti- Romania,10-Aug-17,A way to spend couple of hours,3,D2F49137EDD85C7AF6DA3C57D6173AC2,A quite overated place. Few really interesting attraction and very crowded. Long queues after 12.00. At least 1/0015-2 hrs to stay in line. Too expensive for what you get!
Jonnytwosocks,Dubai- United Arab Emirates,10-Aug-17,Good day but not the best,3,0DB2C3614504C7262B1F5517017A1EC6,We visited the theme park and booked online suffice to say we still stood 55 mins to collect tkts/001 then when we asked how much express lane tkts are he tried to rip us off. Be careful here! The park is really limited and mostly for children... 10-15. There are very few big rides/001 but four are worth while. Its small/001 expensive/001 and very limited. We were done in less than 4 hours for 300 Brit pounds! Your decision guys?
